ax,ay,az,gx,gy,gz,mx,my,mz,heading,pitch,roll
0.015,-0.537,-0.885,0.048,0.01,-0.09,-28.95,-255.9,-9.45,180.26,-0.02,-0.26
0.028,-0.524,-0.883,0.067,0.014,-0.173,-29.7,-255.15,-9.9,180.51,-0.04,-0.52
0.028,-0.524,-0.883,0.064,0.009,-0.147,-31.2,-255.15,-9.15,180.77,-0.06,-0.78
0.032,-0.519,-0.881,0.045,-0.0,-0.05,-29.85,-255.3,-9.75,181.03,-0.09,-1.04
0.028,-0.524,-0.878,0.003,-0.022,0.161,-31.8,-254.55,-10.35,181.28,-0.11,-1.3
0.028,-0.524,-0.878,-0.01,-0.018,0.203,-30.15,-255.6,-9.9,181.54,-0.12,-1.57
0.008,-0.531,-0.886,-0.007,-0.014,0.168,-29.7,-255.9,-9.45,181.79,-0.13,-1.84
0.01,-0.546,-0.877,0.043,0.007,-0.045,-29.7,-255.9,-9.45,182.03,-0.14,-2.11
0.02,-0.539,-0.88,0.063,0.015,-0.148,-29.85,-255.75,-10.05,182.28,-0.15,-2.38
0.02,-0.539,-0.88,0.074,0.02,-0.197,-29.7,-256.65,-9.9,182.52,-0.16,-2.65
0.029,-0.522,-0.881,0.056,0.006,-0.103,-31.05,-255.3,-10.35,182.77,-0.17,-2.92
0.033,-0.52,-0.874,0.031,-0.001,0.017,-31.65,-255.9,-10.2,183.01,-0.18,-3.19
0.033,-0.52,-0.874,0.01,-0.01,0.125,-31.65,-255.9,-10.2,183.25,-0.2,-3.47
0.013,-0.533,-0.884,-0.002,-0.015,0.192,-29.25,-254.55,-9.3,183.5,-0.2,-3.75
0.01,-0.536,-0.885,0.008,-0.005,0.122,-29.55,-255.3,-9.3,183.73,-0.2,-4.02
0.011,-0.535,-0.893,0.027,0.0,0.015,-29.4,-255.9,-9.45,183.97,-0.19,-4.3
0.011,-0.535,-0.893,0.076,0.017,-0.179,-29.85,-255.3,-10.05,184.21,-0.19,-4.58
0.027,-0.524,-0.877,0.073,0.022,-0.196,-29.85,-255.3,-10.05,184.44,-0.19,-4.86
0.034,-0.518,-0.877,0.048,0.002,-0.042,-31.8,-255.3,-9.75,184.67,-0.2,-5.14
0.034,-0.518,-0.877,0.02,-0.01,0.069,-31.8,-256.05,-10.35,184.91,-0.2,-5.42
0.025,-0.523,-0.882,0.003,-0.019,0.156,-31.65,-255.6,-9.45,185.14,-0.2,-5.7
0.011,-0.536,-0.88,-0.006,-0.011,0.159,-30.3,-255.0,-9.3,185.36,-0.19,-5.99
0.007,-0.535,-0.891,0.017,-0.008,0.067,-30.15,-255.15,-8.7,185.59,-0.17,-6.28
0.007,-0.535,-0.891,0.049,0.006,-0.046,-28.5,-256.5,-8.25,185.81,-0.16,-6.56
0.016,-0.529,-0.883,0.073,0.013,-0.188,-28.95,-254.4,-9.45,186.04,-0.15,-6.85
0.027,-0.519,-0.881,0.065,0.013,-0.17,-31.35,-255.0,-9.3,186.26,-0.14,-7.13
0.027,-0.519,-0.881,0.052,0.005,-0.088,-31.05,-255.3,-8.55,186.48,-0.13,-7.42
0.032,-0.523,-0.879,0.01,-0.015,0.12,-31.2,-254.4,-9.45,186.7,-0.12,-7.71
0.018,-0.53,-0.878,-0.003,-0.017,0.178,-30.15,-255.6,-9.45,186.91,-0.11,-8.0
0.009,-0.537,-0.886,0.009,-0.008,0.111,-30.3,-255.75,-9.75,187.13,-0.08,-8.29
0.009,-0.537,-0.886,0.031,0.004,0.012,-28.95,-255.15,-11.4,187.34,-0.06,-8.59
0.015,-0.536,-0.882,0.05,0.011,-0.098,-29.55,-256.5,-9.3,187.55,-0.04,-8.88
0.027,-0.527,-0.878,0.072,0.016,-0.182,-29.85,-254.55,-10.05,187.76,-0.03,-9.17
0.027,-0.527,-0.878,0.058,0.012,-0.129,-29.85,-254.55,-10.05,187.97,-0.01,-9.46
0.03,-0.522,-0.877,0.04,0.002,-0.033,-29.85,-255.0,-9.75,188.17,0.01,-9.76
0.021,-0.521,-0.886,0.006,-0.013,0.154,-31.35,-255.3,-9.75,188.38,0.03,-10.05
0.007,-0.534,-0.889,-0.003,-0.015,0.189,-30.9,-255.9,-9.15,188.59,0.06,-10.35
0.007,-0.534,-0.889,0.004,-0.013,0.144,-29.7,-254.7,-9.45,188.79,0.09,-10.64
0.007,-0.538,-0.888,0.039,0.007,-0.049,-29.7,-254.7,-9.45,188.99,0.12,-10.94
0.017,-0.533,-0.882,0.064,0.011,-0.137,-28.5,-255.3,-10.8,189.18,0.15,-11.24
0.017,-0.533,-0.882,0.061,0.013,-0.153,-30.9,-254.7,-8.7,189.38,0.18,-11.54
0.031,-0.518,-0.879,0.05,0.004,-0.077,-30.9,-256.35,-9.9,189.57,0.2,-11.83
0.022,-0.526,-0.882,0.03,-0.004,0.024,-31.65,-256.35,-9.9,189.77,0.23,-12.13
0.019,-0.525,-0.882,0.001,-0.017,0.167,-31.65,-256.35,-9.9,189.96,0.26,-12.43
0.019,-0.525,-0.882,0.004,-0.013,0.155,-30.3,-255.75,-9.75,190.15,0.29,-12.73
0.005,-0.535,-0.883,0.014,-0.005,0.094,-30.45,-255.9,-9.9,190.34,0.33,-13.03
0.011,-0.535,-0.881,0.053,0.014,-0.101,-28.2,-255.6,-9.15,190.53,0.37,-13.33
0.011,-0.535,-0.881,0.063,0.014,-0.162,-28.65,-255.6,-10.2,190.71,0.41,-13.63
0.023,-0.526,-0.879,0.064,0.015,-0.158,-30.3,-256.5,-8.25,190.89,0.44,-13.94
0.028,-0.517,-0.876,0.036,-0.001,-0.018,-30.45,-255.9,-9.9,191.07,0.48,-14.24
0.023,-0.527,-0.883,0.018,-0.008,0.077,-31.95,-255.9,-8.4,191.25,0.52,-14.54
0.023,-0.527,-0.883,-0.003,-0.012,0.168,-30.15,-256.65,-9.9,191.43,0.55,-14.84
0.012,-0.533,-0.882,0.007,-0.007,0.122,-27.45,-255.15,-9.45,191.61,0.6,-15.15
0.006,-0.54,-0.883,0.024,0.0,0.038,-28.65,-255.9,-9.45,191.78,0.64,-15.45
